participant_id,type,ordering,scenario,rt,textual_answer,numerical_answer,pred_ans,condition,indeterminate_status
0,filler,0,switches,1145,indeterminate,1,2,F3,I strongly feel that there is no right answer.
0,test,0,switches,732,indeterminate,1,3,T4,I just don't know; I am not sure what the answer is.
0,test,0,switches,813,true,0,0,T2,0
0,filler,0,switches,220,true,0,2,F4,0
0,test,0,switches,153,true,0,2,False,0
0,test,0,switches,183,true,0,0,T1,0
0,filler,0,switches,342,true,0,0,F1,0
0,filler,0,switches,722,true,0,0,F5,0
0,test,0,switches,185,true,0,0,True,0
0,filler,0,switches,402,true,0,2,F2,0
0,test,0,switches,363,true,0,0,T3,0
0,filler,0,candy,391,indeterminate,1,2,F3,I just don't know; I am not sure what the answer is.
0,filler,0,candy,556,indeterminate,1,0,F1,I strongly feel that there is no right answer.
0,test,0,candy,621,true,0,0,T3,0
0,filler,0,candy,321,true,0,2,F4,0
0,test,0,candy,249,true,0,0,T1,0
0,filler,0,candy,244,true,0,0,F5,0
0,test,0,candy,382,true,0,2,False,0
0,filler,0,candy,277,true,0,2,F6,0
0,test,0,candy,209,true,0,0,True,0
0,test,0,candy,174,true,0,3,T4,0
0,filler,0,candy,158,true,0,2,F2,0
0,test,0,candy,346,true,0,0,T2,0
0,test,0,numbers,876,indeterminate,1,3,T4,I just don't know; I am not sure what the answer is.
0,filler,0,numbers,1349,false,2,0,F1,0
0,filler,0,numbers,335,false,2,0,F5,0
0,filler,0,numbers,158,false,2,2,F6,0
0,filler,0,numbers,143,false,2,2,F3,0
0,test,0,numbers,89,false,2,0,T3,0
0,test,0,numbers,482,false,2,0,T2,0
0,test,0,numbers,183,false,2,2,False,0
0,filler,0,numbers,135,false,2,2,F4,0
0,test,0,numbers,176,false,2,0,T1,0
0,filler,0,numbers,169,false,2,2,F2,0
0,test,0,numbers,219,false,2,0,True,0
